date_key,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name
15e55ce0-318d-4511-8ee0-34e1b38fc298,2017,3,12,Sunday,True,False,
29dada67-602f-422a-bf73-dd9330476597,2017,3,31,Friday,False,False,
44a0d185-58c1-488e-968f-ec0a9cf62ed9,2017,9,26,Tuesday,False,False,
e19a2257-6cf7-410a-986c-58ee6ef7ca72,2017,12,15,Friday,False,False,
fb1e0d53-bcf4-4853-b308-9fb1edcc504b,2017,5,3,Wednesday,False,False,
76815156-84ba-4261-8865-9265668b7fa4,2017,3,19,Sunday,True,False,
8b79de4f-5736-41b6-b9a3-4d5cabc97fb6,2017,6,14,Wednesday,False,False,
fa85d3bd-ac8e-48f5-b839-5e7b9877bffc,2017,7,8,Saturday,True,False,
6e445059-39a3-4733-88fd-20cbb736bb54,2018,1,11,Thursday,False,False,
59c9b926-9768-4dd3-897e-a588578ecd7e,2016,5,9,Monday,False,False,
9cf62e98-9524-4141-bfbd-74a34d0125a3,2016,5,4,Wednesday,False,False,
f889e8e7-e152-45e2-a85a-30f3ca1d4961,2016,4,14,Thursday,False,False,
187487a1-abbe-4678-9a64-e745285dc310,2017,6,17,Saturday,True,False,
d94dd341-6d33-46ae-a24b-361ff0127687,2016,4,18,Monday,False,False,
fa208d94-5558-4c8e-b329-7c0c618823c7,2017,3,21,Tuesday,False,False,
4929a3ae-28f1-4435-9e4f-03c4b817ffc5,2017,6,15,Thursday,False,False,
6212595a-f4f1-4cad-9066-a560d9db0f59,2017,4,21,Friday,False,False,
8d90b6db-9956-48c2-91b6-4f8c93d3fc80,2017,11,26,Sunday,True,False,
1d57ef11-e125-4f33-ad9a-ff8117a21232,2016,4,7,Thursday,False,False,
11fbf490-9192-4a6b-8bfb-6130316c4e98,2017,7,4,Tuesday,False,True,Independence Day
ea5e91eb-8740-4cf6-b39e-e00badc6ffd4,2017,3,29,Wednesday,False,False,
8bb8463a-cbf8-4bd3-a7f2-7ec11594cbe7,2017,9,1,Friday,False,False,
5a9e1899-7444-42ba-867f-fee1aa305d37,2016,4,28,Thursday,False,False,
04d44e8c-8e6d-4dc7-bdc3-e212a43ced4a,2017,7,2,Sunday,True,False,
13b6c35f-bcb1-4dbe-83d4-3d231f12c532,2017,6,12,Monday,False,False,
5757eb37-6dc0-4251-a08d-00f61f354e26,2016,5,28,Saturday,True,False,
0bbbe4b2-42b6-4173-9f98-7995a130af5a,2017,5,27,Saturday,True,False,
8f882f05-ad53-499b-9716-fda7366ff10e,2017,10,14,Saturday,True,False,
d13dc3f5-5e2d-4679-845b-d3ef6117a608,2017,9,2,Saturday,True,False,
64209af2-eaa7-4367-bebc-482166cf817b,2017,7,9,Sunday,True,False,
ded58d49-3e8d-4f57-93a0-e22fbb2a1cc0,2016,4,29,Friday,False,False,
edaf7c31-3bf0-45ec-99a9-0eac7086e35c,2016,5,2,Monday,False,False,
4911ce18-7b4e-4cfe-a9f9-c61799036de9,2018,1,19,Friday,False,False,
dcd1e53e-57e1-4e76-9622-28a085c9e119,2017,8,26,Saturday,True,False,
a853b831-04c9-462a-8c54-a14972bee60e,2017,1,12,Thursday,False,False,
e13e3d27-7e54-4104-a4d3-ad410777b3d8,2016,4,2,Saturday,True,False,
