date_key,year,month,day,day_of_week,is_weekend,is_american_holiday,american_holiday_name,is_canadian_holiday,canadian_holiday_name
74b2b067-3316-4a99-9246-c838082612dc,2016,8,1,Monday,False,False,,True,British Columbia Day
bca4cc2c-4843-4270-9f9e-142aad4991ab,2016,4,15,Friday,False,False,,False,
98ead4b0-c2b2-4d26-99f5-35fc85c83ebc,2018,4,9,Monday,False,False,,False,
8097bfd8-753b-4b78-bd5b-8204af27a59c,2016,1,1,Friday,False,True,New Year's Day,True,New Year's Day
678aac58-be1e-4b29-a72d-d0c5f6968c4e,2018,3,13,Tuesday,False,False,,False,
67fc2ee2-83fe-4345-a618-dd87097c9a1e,2016,3,30,Wednesday,False,False,,False,
5399b617-0312-4a77-9320-c775fb9e2708,2017,1,1,Sunday,True,True,New Year's Day,True,New Year's Day
50806a1c-1f24-4c3e-85ae-379d2a8a0d58,2018,4,1,Sunday,True,False,,False,
2a680ba0-527d-4af8-9156-363c14d5f854,2018,2,23,Friday,False,False,,False,
5061ef54-4d19-4379-a0f4-049b303398dc,2018,3,2,Friday,False,False,,False,
3e69549b-d85f-401b-a69e-4cb0d330b3fa,2018,4,10,Tuesday,False,False,,False,
b65b79fd-bf3e-4e0c-8fdd-7f9dcc69180a,2018,4,2,Monday,False,False,,False,
b201d7c1-969a-4ed7-8f9b-d9e70cc5b219,2018,2,21,Wednesday,False,False,,False,
afb97b4b-17e5-423b-a739-8fb76946d342,2018,4,8,Sunday,True,False,,False,
a69f6f65-0b62-400f-9dac-fac7db1ccd0e,2018,2,15,Thursday,False,False,,False,
0478db60-4e59-4b83-9897-4b4715dc347a,2017,12,10,Sunday,True,False,,False,
ba90fb16-7d11-4e05-ab7b-55a9bbe862b0,2017,10,22,Sunday,True,False,,False,
8bf5bf81-be0b-4e52-ab98-330c938d891b,2018,1,2,Tuesday,False,False,,False,
2011ae7c-798b-4b59-b774-b531fcd545eb,2017,12,31,Sunday,True,False,,False,
815b5372-21eb-45c3-ba2c-5531605f1fd7,2017,12,27,Wednesday,False,False,,False,
0de9fd88-6e0e-4441-93f1-69e5003aa3dc,2017,12,28,Thursday,False,False,,False,
dcbd642c-7b92-4778-b758-c545eb5d356e,2017,12,18,Monday,False,False,,False,
3685dcde-6b9c-451b-a496-f5c29b2501a9,2017,12,2,Saturday,True,False,,False,
eee30cb3-c273-4808-b2ea-3fbe5e0a23d9,2016,12,31,Saturday,True,False,,False,
a79e27d1-237b-4ce4-a582-1d572502d2e5,2017,12,12,Tuesday,False,False,,False,
3826895d-ea02-4f30-a8d1-354c7d386032,2017,12,29,Friday,False,False,,False,
fe1b98fd-d913-4fa2-93b8-6714142ce685,2017,11,2,Thursday,False,False,,False,
e10d59e5-d107-404c-ba07-74cd50a65fbc,2017,12,23,Saturday,True,False,,False,
6e17726f-ec41-4fb1-9647-a67cdd3a37b2,2017,12,22,Friday,False,False,,False,
2f06e882-5bd7-40c6-bc90-7eea681afa08,2017,11,15,Wednesday,False,False,,False,
e5df9386-b931-45ff-bf44-bdace6ea0c85,2017,1,31,Tuesday,False,False,,False,
a3989de3-d94d-4121-ba89-ad52dee12e43,2016,8,2,Tuesday,False,False,,False,
7c040c39-e371-4bd7-9df6-a7656d3c3d49,2017,2,3,Friday,False,False,,False,
3d8ac058-bb61-43fe-a212-7a0eb13e4702,2018,1,3,Wednesday,False,False,,False,
6135efe1-eb65-4926-87e6-13dbf87764f0,2016,7,31,Sunday,True,False,,False,
aab00aa9-a263-427a-90a9-c0711a1b9b5d,2016,7,9,Saturday,True,False,,False,
850284d6-1f85-4c91-b11b-3df034b427f7,2017,10,1,Sunday,True,False,,False,
6f8b1049-8e3c-4c41-aab8-58232c07f24f,2016,8,17,Wednesday,False,False,,False,
d17f0c19-01f1-4c81-ac00-a7c6709f784a,2016,7,19,Tuesday,False,False,,False,
6f33fe97-5901-4704-9a9d-b6ada8a1c256,2015,8,9,Sunday,True,False,,False,
fa29ccc6-a7a1-44ab-b79e-a9608b50e549,2018,2,3,Saturday,True,False,,False,
2fcdc7e7-4908-4935-bbbc-9c456fd6acc5,2018,2,6,Tuesday,False,False,,False,
a0bcfa57-3930-4ef7-8f29-7a953a1d00f8,2018,1,5,Friday,False,False,,False,
819b09ed-23de-4060-afd4-56f48d150a34,2017,9,12,Tuesday,False,False,,False,
838ba518-74ea-42a5-82cd-6041be6ed12c,2017,7,15,Saturday,True,False,,False,
9f1b5c2d-2ed0-4ce6-9f45-e7a889751ba6,2018,2,13,Tuesday,False,False,,False,
11e46f08-c6ac-424b-bb28-43858d7dad3a,2018,2,22,Thursday,False,False,,False,
589c3e5d-e93d-4393-8622-3165d62f10c9,2018,2,26,Monday,False,False,,False,
6b6ad1db-5bba-4fc2-941a-dc4d29183bb7,2016,10,14,Friday,False,False,,False,
