event_key,event_name,event_year,event_month,event_day,event_hour,event_minute,event_type,event_genre,event_venue_name,event_address,event_postal_code,event_latitude,event_longitude
5268ab6e-a0ed-4843-913c-56abf0bb369e,Minnesota United FC at Vancouver Whitecaps,2018,7,28,19,0,Sports,Soccer,BC Place,852 Pacific Boulevard,V6B 4Y83,49.276666999999996,-123.111944
d02526eb-a9bb-421e-a37d-c2e24f2f4936,Toronto FC at Vancouver Whitecaps,2018,8,8,19,0,Sports,Soccer,BC Place,853 Pacific Boulevard,V6B 4Y84,49.276666999999996,-123.111944
264bb33b-d063-4d4f-bb76-042f15481583,New York Red Bulls at Vancouver Whitecaps,2018,8,18,16,0,Sports,Soccer,BC Place,854 Pacific Boulevard,V6B 4Y85,49.276666999999996,-123.111944
4c4bd745-f02d-4240-bffb-8dbf15ad9614,San Jose Earthquakes at Vancouver Whitecaps,2018,9,1,19,0,Sports,Soccer,BC Place,855 Pacific Boulevard,V6B 4Y86,49.276666999999996,-123.111944
afb0f233-22fe-4ec0-b4d2-be74f03ed2b6,Seattle Sounder FC at Vancouver Whitecaps,2018,9,15,19,0,Sports,Soccer,BC Place,856 Pacific Boulevard,V6B 4Y87,49.276666999999996,-123.111944
bc233684-51a4-4116-8679-5ed4ae11836a,FC Dallas at Vancouver Whitecaps,2018,9,23,16,0,Sports,Soccer,BC Place,857 Pacific Boulevard,V6B 4Y88,49.276666999999996,-123.111944
5945e7ac-6a89-4352-8275-c021395918ed,Sporting Kansas City at Vancouver Whitecaps,2018,10,17,19,0,Sports,Soccer,BC Place,858 Pacific Boulevard,V6B 4Y89,49.276666999999996,-123.111944
0967f610-9617-4112-ab77-c7581001d6d4,Portland Timbers at Vancouver Whitecaps,2018,10,28,13,30,Sports,Soccer,BC Place,859 Pacific Boulevard,V6B 4Y90,49.276666999999996,-123.111944
15e1c54b-8f98-4f4a-9384-532808c5be8e,Minnesota United FC at Vancouver Whitecaps,2019,3,2,15,0,Sports,Soccer,BC Place,860 Pacific Boulevard,V6B 4Y91,49.276666999999996,-123.111944
56fb5296-6600-4cb6-84ab-351b264200dc,Seattle Sounder FC at Vancouver Whitecaps,2019,3,30,19,0,Sports,Soccer,BC Place,861 Pacific Boulevard,V6B 4Y92,49.276666999999996,-123.111944
19939d3a-6eee-4ad0-8cd6-722fff303639,Los Angeles Galaxy at Vancouver Whitecaps,2019,4,5,19,0,Sports,Soccer,BC Place,862 Pacific Boulevard,V6B 4Y93,49.276666999999996,-123.111944
b348f880-f49d-4b6f-97d8-1321cb0daeac,Los Angeles Football Club at Vancouver Whitecaps,2019,4,17,19,0,Sports,Soccer,BC Place,863 Pacific Boulevard,V6B 4Y94,49.276666999999996,-123.111944
ca91309a-5b7d-4567-b7c9-d8e43cd5640c,Philadelphia Union at Vancouver Whitecaps,2019,4,27,19,0,Sports,Soccer,BC Place,864 Pacific Boulevard,V6B 4Y95,49.276666999999996,-123.111944
2c9ced0b-a150-4289-9697-e3cf9b5a34d6,Portland Timbers at Vancouver Whitecaps,2019,5,10,19,0,Sports,Soccer,BC Place,865 Pacific Boulevard,V6B 4Y96,49.276666999999996,-123.111944
65f43d5e-3362-4b0d-938a-e6fea75b0346,Atlanta United FC at Vancouver Whitecaps,2019,5,15,19,0,Sports,Soccer,BC Place,866 Pacific Boulevard,V6B 4Y97,49.276666999999996,-123.111944
794c749e-c580-4561-8500-ecaf92ee7952,FC Dallas at Vancouver Whitecaps,2019,5,31,19,0,Sports,Soccer,BC Place,867 Pacific Boulevard,V6B 4Y98,49.276666999999996,-123.111944
3719b31b-dc9e-4410-ad51-1d4da78ec198,Colorado Rapids at Vancouver Whitecaps,2019,6,22,19,0,Sports,Soccer,BC Place,868 Pacific Boulevard,V6B 4Y99,49.276666999999996,-123.111944
11921c15-660c-411c-b71c-124922a77eb8,Sporting Kansas City at Vancouver Whitecaps,2019,7,13,19,0,Sports,Soccer,BC Place,869 Pacific Boulevard,V6B 4Y100,49.276666999999996,-123.111944
1428559f-0dab-421f-bf6e-a05cafa713e2,San Jose Earthquakes at Vancouver Whitecaps,2019,7,20,19,0,Sports,Soccer,BC Place,870 Pacific Boulevard,V6B 4Y101,49.276666999999996,-123.111944
7fe1ba47-7ac8-4e23-830c-52ae305204aa,Cavalry FC at Vancouver Whitecaps,2019,7,24,19,30,Sports,Soccer,BC Place,871 Pacific Boulevard,V6B 4Y102,49.276666999999996,-123.111944
337d624d-cfa9-4943-bf12-4ab6e0a8dac3,D.C. United at Vancouver Whitecaps,2019,8,17,19,0,Sports,Soccer,BC Place,872 Pacific Boulevard,V6B 4Y103,49.276666999999996,-123.111944
65d74425-f2f5-46a5-b7ba-20c1a821861a,New York City FC at Vancouver Whitecaps,2019,8,31,19,0,Sports,Soccer,BC Place,873 Pacific Boulevard,V6B 4Y104,49.276666999999996,-123.111944
e73b5138-769b-4105-a5e2-d380b701fe77,Houston Dynamo at Vancouver Whitecaps,2019,9,14,19,0,Sports,Soccer,BC Place,874 Pacific Boulevard,V6B 4Y105,49.276666999999996,-123.111944
ff8264a2-2d37-47f1-80aa-881d938961e0,Columbus Crew SC at Vancouver Whitecaps,2019,9,21,14,0,Sports,Soccer,BC Place,875 Pacific Boulevard,V6B 4Y106,49.276666999999996,-123.111944
f69d71d2-c835-47a2-a04b-89591a68e377,Real Salt Lake at Vancouver Whitecaps,2019,10,6,13,0,Sports,Soccer,BC Place,876 Pacific Boulevard,V6B 4Y107,49.276666999999996,-123.111944
94d44c47-64ed-4b8e-b2ab-0bd048ef4f72,King Crimson,2015,11,26,20,0,Music,Rock,Vogue Theatre,918 Granville Street,V6Z 1L2,49.279796000000005,-123.12166100000002
77ee9521-c133-43fb-b3b2-bd4a844bfe81,King Crimson,2015,11,27,20,0,Music,Rock,Vogue Theatre,918 Granville Street,V6Z 1L2,49.279796000000005,-123.12166100000002
c06441ff-e9fe-4255-a948-a3589630ac41,Tonight! Tobias Jesso Jr. with Okay Kaya,2015,3,30,20,0,Music,Indie,Electric Owl,926 Main Street,V6A 2W1,49.276111,-123.09944399999999
b1b10e6a-a535-4932-bc74-7e3a588a2e2e,Sleater-Kinney with THEESatisfaction @ The Commodore Ballroom,2015,5,6,20,0,Music,Rock,The Commodore Ballroom,868 Granville Street,V6Z 1K3,49.280556,-123.120833
