date_key,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name
5e224ba4-d0bb-4bd4-b3e7-1383873dcaf0,2018,3,28,Wednesday,False,False,
5be532d5-8a95-4882-997e-c2cc58fbe2eb,2015,12,12,Saturday,True,False,
48f08e50-fe42-413c-8159-ad924dbf7f9e,2017,4,1,Saturday,True,False,
b6e06b5a-d76a-49ae-8202-3074f51c8383,2018,9,12,Wednesday,False,False,
325edafa-20df-481c-b0de-665a33815a04,2016,11,26,Saturday,True,False,
f25c9dcd-473b-474f-8698-0f3dfe58af17,2016,12,2,Friday,False,False,
c1a5efa8-6369-4c84-9b65-03d343adffed,2019,6,28,Friday,False,False,
e1efeae3-1918-4eed-88f0-8fc39433f419,2015,11,3,Tuesday,False,False,
a90432fe-1079-4f75-8bc3-b6b119d5d129,2016,7,18,Monday,False,False,
df7c707b-107c-4651-a6f0-34dbc17dfdee,2018,7,1,Sunday,True,True,Canada Day
c3154faa-7511-45c2-a419-e13da3ec20a1,2018,12,1,Saturday,True,False,
c423b083-8088-4b86-ac13-6d86061642e4,2018,12,27,Thursday,False,False,
dbf64557-a17b-477d-adc2-1ff00a6d9770,2018,1,9,Tuesday,False,False,
e66474c4-e808-4f4a-bae6-8503e7287b85,2018,12,28,Friday,False,False,
389a5751-7eba-42c9-a23e-fbdf04161489,2017,6,6,Tuesday,False,False,
d25286d1-6b8f-4c1d-8877-dbb0bdcf2e75,2018,10,12,Friday,False,False,
91f8d17a-ef0b-4075-b6f2-5e863e2df6ca,2019,5,15,Wednesday,False,False,
b511b639-7c7a-40a3-b5d9-f55a6af7be3a,2018,1,23,Tuesday,False,False,
6f639ff6-bd74-4d66-8f67-5019e9b8ba47,2018,8,25,Saturday,True,False,
c656f2ac-19e9-465e-a816-94492c9c260c,2019,5,23,Thursday,False,False,
41863e5d-1105-4c26-8f92-20d01a113c37,2015,10,13,Tuesday,False,False,
4caedeef-6527-4957-b72a-f9583794dca3,2017,1,19,Thursday,False,False,
edeb686d-307f-445a-b2c7-1366a9fcbb96,2015,1,30,Friday,False,False,
635fb0ed-9bf2-4012-b2f3-97494ba9c5ae,2018,6,15,Friday,False,False,
31afb357-dd87-4ad9-8744-358e610b9ccf,2019,4,8,Monday,False,False,
187c8319-e9f8-4a5f-9680-2d8d57e26514,2017,12,18,Monday,False,False,
b057de6f-d29c-4397-9340-425b3e5b0f63,2018,4,27,Friday,False,False,
84b6a701-7249-4a33-be86-2ddf55f49f86,2016,9,23,Friday,False,False,
b2c750ea-e75e-4fe6-9cf7-9665d71a5551,2019,3,21,Thursday,False,False,
6574fc46-91ea-4d19-92b7-d1504ba1aa94,2018,6,29,Friday,False,False,
906cd036-5c6b-4139-8250-f164c7e0fe07,2015,6,28,Sunday,True,False,
60da8d2c-204c-46cc-8e59-ebbb9b5ffcee,2015,12,7,Monday,False,False,
8fb85292-6d5f-497a-a514-7cb3da55dcbc,2018,8,19,Sunday,True,False,
bb0d230b-e448-4a0c-9718-ad96301605a5,2016,3,10,Thursday,False,False,
10638266-0676-46a2-a517-a875c0a06438,2015,7,19,Sunday,True,False,
87b5fe93-b4ff-4625-9ce4-206912fdbe34,2019,5,29,Wednesday,False,False,
6331679c-fc1d-45bd-9073-7622ec3f4199,2019,2,18,Monday,False,True,Family Day
20eae638-1715-4ee2-9593-d737dcfaea1c,2017,9,24,Sunday,True,False,
b368b156-2adf-4fc6-8505-c037c4d2ccd2,2017,5,1,Monday,False,False,
22692437-68bc-454a-a108-02f5b8126f23,2017,5,6,Saturday,True,False,
65c88826-3b1e-4543-8cf6-3060561e9b30,2019,8,9,Friday,False,False,
cd47f816-1211-49ac-bdad-16d86b29f016,2017,7,16,Sunday,True,False,
9433b35c-2c6a-4180-a9ed-7c79f18bf742,2019,7,5,Friday,False,False,
654217f8-28e4-4fe0-9d77-5416597ebfa2,2017,10,12,Thursday,False,False,
fb628903-b246-4089-a0df-f293a7300673,2018,9,4,Tuesday,False,False,
e487a550-a969-4f0c-9f71-188e224a9bbd,2017,11,30,Thursday,False,False,
a20fb942-36d0-4756-941f-a4ed2786e836,2018,1,27,Saturday,True,False,
61d8c052-29d3-4aaf-8f4b-3a5997592f1e,2017,3,18,Saturday,True,False,
c91873f0-6e69-4ccd-b3b4-828c6e9c4e45,2017,2,2,Thursday,False,False,
0f68a55a-5f63-4572-a23e-97b45bdff870,2016,3,24,Thursday,False,False,
2f2ffd5f-b377-40f1-9b0a-d7c3d278aa2d,2018,3,6,Tuesday,False,False,
8d99a248-b312-40dc-a924-03f42ba37aa4,2015,2,10,Tuesday,False,False,
54c0ea69-2efb-4780-86f6-241e1e8eac62,2016,10,15,Saturday,True,False,
69b0ad4d-8026-42f8-bcf8-e612c672a85b,2018,1,17,Wednesday,False,False,
aa76f4ae-c8db-46f1-bf21-fb6bc0b4c54b,2015,9,18,Friday,False,False,
379eb622-2499-4429-ab31-067f6c19ffd3,2020,1,13,Monday,False,False,
75d6da37-1654-4617-9836-62fe5a25bf50,2019,2,10,Sunday,True,False,
f16a2256-516b-46ba-8950-8886c592d316,2019,4,20,Saturday,True,False,
8109fc77-2de9-4804-936b-7b797baf2786,2018,1,11,Thursday,False,False,
a5dcc135-6c3e-4ee3-838d-74d6e6941b5d,2016,7,29,Friday,False,False,
0947467a-1eb0-416e-8949-0b86939ca545,2017,11,23,Thursday,False,False,
c449f336-774b-48ef-879f-d7e716db4ed2,2018,1,28,Sunday,True,False,
0eea2ea2-25b2-4899-893e-ed8d1d23d1e5,2020,1,30,Thursday,False,False,
6d1c5160-e59b-41d1-a550-ea701fd7026f,2016,6,4,Saturday,True,False,
e129b189-2445-4fba-8152-596f82adf89c,2017,12,3,Sunday,True,False,
db695d48-826e-4b01-83d2-e895b00adc3f,2017,1,11,Wednesday,False,False,
67331fd5-74a0-4586-855a-b14414d870c6,2015,11,25,Wednesday,False,False,
b54598d0-3d34-4a9e-9aeb-789babcc1918,2015,11,2,Monday,False,False,
620532ea-e9a1-4792-82c1-5ffd50d21473,2016,8,18,Thursday,False,False,
5c8ed17c-7209-412c-87ec-1a84d33b4fdc,2020,1,8,Wednesday,False,False,
52320545-6b9b-46e7-8a3d-bb3699bbf267,2015,4,28,Tuesday,False,False,
1bf6debe-6180-42f5-9b4e-6a371d50c704,2017,5,3,Wednesday,False,False,
294fc26e-7d8f-49b0-b146-1ef9cc10ec0d,2018,7,9,Monday,False,False,
af9fab6e-3836-4321-b1f2-2a70afd7d972,2019,10,23,Wednesday,False,False,
978d9b84-7d9f-4d66-996d-676292c72798,2018,5,21,Monday,False,True,Victoria Day
4547693d-3096-4ef4-a469-5215d5179212,2018,6,19,Tuesday,False,False,
e6a96309-28ab-49b0-95cd-003eb38de6af,2018,7,19,Thursday,False,False,
b8393446-2574-4bac-9a14-ae6afbfcc8bc,2017,2,22,Wednesday,False,False,
0c2d4c16-5508-44f5-819d-2c3ccd784281,2019,3,18,Monday,False,False,
8250ff2b-2cb4-4a4e-b489-aba176fa5453,2018,10,24,Wednesday,False,False,
e3784aa2-4305-4dfa-a32c-11a4c4b09c10,2016,12,16,Friday,False,False,
3a62681d-bf4c-4675-819c-758b398a8c08,2020,2,11,Tuesday,False,False,
b9770851-0c8e-4bde-be7b-ea6887e1ec19,2018,8,8,Wednesday,False,False,
30ce4ede-a4c4-4e0c-bdbb-2590f78999ca,2015,8,19,Wednesday,False,False,
a0cd5591-31fc-496c-a789-2e4237af3e36,2018,11,22,Thursday,False,False,
ca1222bf-6358-4ef6-8676-8296b8731d04,2017,8,6,Sunday,True,False,
